run,idx,key,phase,action_to_base_rgb_ms,action_to_next_ready_ms,denoise_ms,fwd1_ms,fwd2_ms,fwd3_ms,clean_kv_ms,action_prepare_ms,tae_first_rgb_ms,global_end_index,local_end_index,queue_wait_ms
r2a-ex03-67,32,w,,994.2,1320.11,960.17,332.19,314.16,313.81,305.28,0.12592598795890808,21.628216025419533,33264,12096,0.11
r2a-ex03-67,33,w,,989.1,1314.92,957.38,329.78,313.55,314.05,305.68,0.030169030651450157,21.419803029857576,34272,12096,0.08
r2a-ex03-67,34,w,,990.66,1316.29,959.76,328.75,316.66,314.34,305.29,0.393977970816195,21.246007061563432,35280,12096,0.12
r2a-ex03-67,35,w,,993.2,1319.14,959.98,330.63,315.22,314.14,305.13,0.021660001948475838,21.53093903325498,36288,12096,0.13
r2a-ex03-67,36,w,,987.19,1312.18,958.21,331.32,314.71,312.19,304.58,0.15849503688514233,21.153509966097772,37296,12096,0.14
r2a-ex03-67,37,w,,989.4,1314.82,957.1,330.77,313.23,313.11,304.91,0.19912398420274258,21.428043022751808,38304,12096,0.1
r2a-ex03-67,38,w,,987.81,1317.66,956.4,327.52,313.75,315.13,309.57,0.16091600991785526,20.979414926841855,39312,12096,0.12
r2a-ex03-67,39,w,,983.23,1308.21,952.27,328.33,311.9,312.04,305.02,1.9328229827806354,21.111821988597512,40320,12096,0.13
r2a-ex03-67,40,w,,986.47,1314.49,956.69,328.07,315.08,313.55,307.25,0.6417009280994534,21.05284307617694,41328,12096,0.09
r2a-ex03-67,41,w,,977.41,1302.17,948.38,319.83,314.26,314.29,304.68,0.031449017114937305,21.448511979542673,42336,12096,0.09
r2a-ex03-67,42,w,,993.73,1322.6,962.21,334.4,313.32,314.49,308.45,0.15400501433759928,21.200299030169845,43344,12096,0.08
r2a-ex03-67,43,w,,985.35,1316.75,952.68,328.88,310.65,313.15,310.5,0.11768599506467581,21.181068965233862,44352,12096,0.12
r2a-ex03-67,44,w,,990.64,1317.59,961.57,336.0,313.85,311.71,306.82,0.0708580482751131,21.54734800569713,45360,12096,0.13
r2a-ex03-67,45,w,,981.23,1304.92,949.0,326.67,311.88,310.46,303.58,0.9419330162927508,21.211178973317146,46368,12096,0.12
r2a-ex03-67,46,w,,988.05,1315.21,955.16,328.96,313.34,312.86,306.77,0.13257598038762808,20.983555004931986,47376,12096,0.08
r2a-ex03-67,47,w,,984.81,1310.54,954.64,329.23,314.21,311.21,305.96,0.16647495795041323,21.139590069651604,48384,12096,0.09
r2a-ex03-67,48,w,,1005.98,1330.54,973.91,340.73,318.37,314.81,303.64,0.23051293101161718,20.984855014830828,49392,12096,0.1
r2a-ex03-67,49,w,,980.52,1306.51,948.79,323.98,313.93,310.88,305.51,0.09361701086163521,21.13163098692894,50400,12096,0.12
r2a-ex03-67,50,w,,990.63,1316.55,958.88,329.13,314.3,315.44,305.78,0.10250695049762726,20.730001968331635,51408,12096,0.11
